,Country Name,Country Code,2015,2016,2017,2018,2019,2020,Unnamed: 65
143,Lithuania,LTU,14258.2293345128,14998.1250595137,16843.699654691,19166.812272892,19555.2110652539,19997.5925262112,
144,Luxembourg,LUX,101376.496574339,104278.390971905,107361.306947271,116597.295637954,114685.168424149,115873.602630203,
151,Madagascar,MDG,467.23555367358,475.955608372416,515.293309281062,518.401122965529,526.224572187396,495.490400891458,
168,Malawi,MWI,380.596987683774,315.777987100071,497.310409707697,535.351345663708,583.110203584039,625.29412916014,
169,Malaysia,MYS,9955.24272167626,9817.78709031009,10259.3048064811,11377.6542013813,11414.2026894664,10401.7940137994,
158,Mali,MLI,751.47288662264,780.723569528087,830.021515346886,894.804776510366,879.122775162059,858.915805496235,
159,Malta,MLT,24921.6036820869,25741.4460613677,28250.6977747589,30672.2922439038,30186.1959621979,27884.6428274251,
166,Mauritania,MRT,1524.07175254803,1536.85488788877,1577.86437020455,1601.29193164614,1679.44260484157,1672.9235348238,
167,Mauritius,MUS,9260.44730250635,9681.62310691029,10484.9058280992,11208.3273037494,11097.5869332309,8622.67551491013,
154,Mexico,MEX,9616.64555810607,8744.51555912786,9287.84958732302,9686.51424383118,9946.03382879198,8346.70237883571,
150,Moldova,MDA,2732.45711293733,2880.43928129296,3509.69345025814,4230.3630367862,4494.01840306454,4551.13067562421,
163,Mongolia,MNG,3918.58701514963,3660.15194371362,3669.40693442825,4134.97937229071,4339.84462487314,4007.30888507766,
162,Montenegro,MNE,6517.16375162528,7033.60489868635,7803.41113682269,8850.09463079793,8910.65155409448,7686.09294918651,
148,Morocco,MAR,2875.25798516781,2896.72219562665,3035.45443323105,3226.98279356862,3230.40972230151,3009.24945958152,
160,Myanmar,MMR,1144.47434120191,1158.43456551363,1257.80357639114,1279.08975591511,1477.35536778794,1400.21824189956,
178,Nepal,NPL,901.749607715071,899.523581017634,1048.45375534427,1178.52593245237,1194.95687572575,1155.14285440358,
176,Netherlands,NLD,45175.2318933798,46007.8529206547,48554.9922761756,53018.6293562696,52295.0390498713,52304.0573851896,
180,New Zealand,NZL,38630.7265886928,40080.4941137172,42992.8952738896,43306.0700032372,41999.3682892979,41791.79308952,
175,Nicaragua,NIC,2049.8516660809,2107.5740596602,2159.16192554656,2014.57028700455,1926.69969398276,1905.25675597599,
173,Niger,NER,484.238632609296,498.105337934855,517.977044176666,572.430138463628,553.894955335826,565.06133311838,
174,Nigeria,NGA,2687.48005643212,2176.00277201515,1968.56539847444,2027.77854863842,2229.8586518613,2097.09247289022,
177,Norway,NOR,74355.5158575643,70460.5605323322,75496.7540581998,82267.809316159,75826.0818834173,67294.4769786693,
184,Pakistan,PAK,1356.66783065763,1368.42696140417,1464.9261954181,1482.21306651797,1284.70204683255,1193.73339713731,
185,Panama,PAN,13630.3228683958,14343.981394441,15146.4023742294,15544.7335180331,15727.9744915741,12269.0489963771,
195,Paraguay,PRY,5413.77602061858,5324.60906777777,5678.8699722,5782.78454981286,5380.9633218413,4949.74970033259,
186,Peru,PER,6229.10067398112,6204.9964574796,6710.50760214164,6957.79341149359,7027.61220697723,6126.87453978867,
187,Philippines,PHL,3001.04318170863,3073.65468571489,3123.24564174356,3252.11027410024,3485.3408438977,3298.8298514292,
190,Poland,POL,12578.4954734362,12447.4395912808,13864.6817579973,15468.4094107719,15694.8408238857,15656.1827308666,
194,Portugal,PRT,19242.3664710981,19978.401214968,21437.3475036794,23551.0482905614,23284.5272329002,22439.8768739626,
201,Romania,ROU,8969.14892146193,9548.58740298268,10807.0091671993,12398.9819787666,12889.8096111492,12896.0886211622,
202,Russia,RUS,9313.01362484996,8704.89841329594,10720.3326583505,11287.3552780815,11497.6492498593,10126.7217935297,
203,Rwanda,RWA,751.077392617885,744.760748755977,772.316989145919,783.637162814808,820.149288558594,797.855554346228,
205,Saudi Arabia,SAU,20627.9269288204,19878.7638365016,20802.4663134648,23337.0175494347,23139.7979808237,20110.3161923744,
207,Senegal,SEN,1219.24941513302,1269.90329385985,1361.70197218375,1458.06909258145,1430.14825900162,1487.7573088192,
214,Serbia,SRB,5588.98072768556,5765.20076202711,6292.54362926707,7252.40185773992,7411.55864879005,7666.24447595921,
210,Sierra Leone,SLE,588.228862794816,501.415165523953,499.380974567747,533.991533265984,527.534174544671,484.521267483585,
208,Singapore,SGP,55646.6187469505,56848.1753918367,61176.4563611565,66679.0464899752,65640.7079484985,59797.7521801188,
221,Slovakia,SVK,16310.9884090005,16508.6703604932,17504.2113407628,19364.6201036458,19273.2539541229,19156.8896116995,
222,Slovenia,SVN,20881.7669299329,21663.643413767,23454.7395172714,26103.1602597884,25940.728030936,25179.6671722936,
263,South Africa,ZAF,5734.63342207587,5272.5436481983,6131.47944960886,6372.60565499345,6001.4011214068,5090.71502455292,
126,South Korea,KOR,28732.2310762599,29288.8704389833,31616.8434004683,33422.9442100836,31846.2182324258,31489.1226973168,
70,Spain,ESP,25732.0183647454,26505.3432155204,28100.5862419453,30374.5210439089,29564.7448981723,27057.1635151239,
138,Sri Lanka,LKA,3843.78067184442,3886.29150165239,4076.74700282733,4058.80351094171,3851.56098951535,3682.03842459282,
223,Sweden,SWE,51545.4836095322,51965.1571531985,53791.5087298403,54589.0603860606,51686.8513545938,51925.7137596385,
37,Switzerland,CHE,84776.1421659748,83073.2800824812,83352.0886533412,86429.5008163592,85300.3479700289,86601.5564126289,
234,Tajikistan,TJK,978.404981180605,807.10258610434,848.672379903239,853.218873401321,890.544402355733,859.137961121368,
246,Tanzania,TZA,947.933351658407,966.503016569611,1004.90658838695,1042.83875856619,1085.88486100047,1076.47038455352,
233,Thailand,THA,5840.05306687798,5993.30551610045,6593.81835157138,7296.87960772339,7817.01152157855,7189.04183501668,
232,Togo,TGO,570.909967175308,803.1518934041,830.745276651438,901.523016898937,893.352454121675,914.950582595136,
243,Tunisia,TUN,3861.69240015155,3697.93872935664,3481.24110633379,3438.80506664387,3351.57344330192,3319.81902353323,
244,Turkey,TUR,11006.2795239649,10894.6033779275,10589.667724687,9453.19617174191,9126.59439195453,8538.16905982745,
235,Turkmenistan,TKM,6432.68532538494,6387.68257527254,6587.09260439788,6967.37504258806,7612.03518009452,,
247,Uganda,UGA,843.62954532648,733.397131674337,746.830751184521,770.257060149182,794.451445432797,817.035756926923,
248,Ukraine,UKR,2124.6623187838,2187.73050991433,2640.67567655839,3096.81740221352,3662.56308679667,3726.92714937055,
8,United Arab Emirates,ARE,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,43103.3362929869,,
81,United Kingdom,GBR,45039.2359520486,41048.3496572292,40304.7230763678,42992.8037216089,42354.4146545765,40284.6384553276,
251,United States,USA,56863.3714957652,58021.4004997125,60109.6557260477,63064.4184096731,65279.5290260953,63543.577788724,
250,Uruguay,URY,15613.7459681824,16715.6334746253,18690.8938401411,18703.8602924478,17688.01500769,15438.4116657291,
252,Uzbekistan,UZB,2615.025134487,2567.79920656883,1826.56691924216,1529.08286351335,1719.05721009222,1685.76494675082,
254,Venezuela,VEN,,,,,,,
257,Vietnam,VNM,2085.10134910739,2192.17448247545,2365.52161506114,2566.4474870063,2715.27598010995,2785.724156875,
264,Zambia,ZMB,1338.29092708188,1280.80654257604,1535.19657398198,1516.37110009154,1305.00221354087,1050.91928305741,
265,Zimbabwe,ZWE,1445.06970213198,1464.58895715841,1335.66506432532,1352.16265310562,1156.15486360139,1128.21071129808,
